AUTHOR;COUNTRY;DESCRIPTION;KEYWORDUSED;LANGUAGE;LIKEDAT;LIKES;POSTEDAT;URL
Caloã de Sá Gouvêa;;Check out this upcoming event I’ll be attending Thursday will be a busy day, with many events keeping us busy. See you all around! #localizationindustry #events #networking #fantimes;#translator;English;2022-12-12T20:02:59.539260;2;2022-12-12T18:12:12.462841;https://www.linkedin.com/feed/update/urn:li:activity:7008131110102556672/?actorCompanyId=1176657
Mehmet Masum SÜER;;Firat Cewerî: Famous Kurdish author, translator and journalist, Diyarbakir, 2018 (From my portraits of Kurdish artists project.) #diyarbakır #diyarbakir #di̇yarbakir #photo #photography #portrait #portraitphotography #firatceweri #firat #ceweri #author #journalist #translator #kurd #kurdish #kurds #;#translator;English;2022-12-12T20:02:39.316968;3;2022-12-12T18:52:03.388219;https://www.linkedin.com/feed/update/urn:li:activity:7008141262218268674/?actorCompanyId=1176657
International House London | IH London;;🌲🎁 Our very own Alex is back with another Christmas market tour. This time he's showing us around Trafalgar Square and sampling some of the tasty treats on offer! #London #VisitLondon #LearnEnglish #StudyEnglish #StudyAbroad #Christmas #Languages #IHLondon;#languages;English;2022-12-12T19:54:52.702198;4;2022-12-12T17:56:19.271521;https://www.linkedin.com/feed/update/urn:li:activity:7008127304291786752/?actorCompanyId=1176657
Andreas Haentsch;;Weihnachten in Chemnitz 🎄 Am Samstag waren Caroline Lambert und ich im weihnachtlich verschneiten Chemnitz. Gemeinsam mit unseren engagierten “eBay Deine Stadt”-Partnern vor Ort setzen wir aktuell eine mehrwöchige Weihnachtsaktion um, mit der wir dem lokalen Handel in den so wichtigen letzten Woche;Sprachen;German;2022-12-12T19:02:24.460818;19;2022-12-12T16:46:31.125459;https://www.linkedin.com/feed/update/urn:li:activity:7008096733633093634/?actorCompanyId=1176657
Bettina Gruber, PhD;;Am meisten Reichweite überhaupt jemals habe ich auf Instagram mit diesem Reel bekommen. Die Frage darin: Warum mischen mehrsprachige Menschen ihre Sprachen? Meine Antwort: Weil sie es können. Das hat total viele Menschen angesprochen, weil sie sich endlich bestärkt darin fühlten, dass es völlig n;Sprachen;German;2022-12-12T18:55:42.292715;2;2022-12-12T16:44:59.653432;https://www.linkedin.com/feed/update/urn:li:activity:7008109049040764928/?actorCompanyId=1176657
Dr. Nikolaus Lindner;;Marburg Weihnachtsaktion 🎄 Am Wochenende machten Daphne Rauch und ich uns auf den Weg ins wunderschöne weihnachtliche Marburg. Im Gepäck: Große Pläne für einen Tagesausflug und noch größere Schecks. 🚂👜 Bereits im September durfte ich Stadtmarketing Marburg e. V. auf der #eBayOpen in Berlin mit;Sprachen;German;2022-12-12T18:55:15.206251;7;2022-12-12T17:30:52.066477;https://www.linkedin.com/feed/update/urn:li:activity:7008120752172376065/?actorCompanyId=1176657
Idea Translations;;Professionals in #linguistics have a lot to contribute in areas such as product development, speech recognition, search engine automation, #language translation and customer service, among others. Here's how #language is driving the development of artificial intelligence: https://lnkd.in/dAXhzuBh;#linguistics;English;2022-12-12T18:54:56.175346;8;2022-12-12T16:38:44.634162;https://www.linkedin.com/feed/update/urn:li:activity:7008105765466980352/?actorCompanyId=1176657
Jackson Tavarez;;Let's catch up! 🎅 I absolutely love individuals that can speak multiple languages, it's not an easy thing to do. I know I have a lot of proactive people in my network, so I'm curious: #linguistics #innovation #world;#linguistics;English;2022-12-12T18:54:18.535119;3;2022-12-12T17:20:32.729478;https://www.linkedin.com/feed/update/urn:li:activity:7008118238186213376/?actorCompanyId=1176657
InterpreMed;;Top of the morning to y'all! We want to get our Monday started with a super useful hack for interpreting practice! We know many of our members who practice with our self-paced audio materials will find this hack particularly helpful! Recording yourself is an essential part of your interpreting prac;#translator;English;2022-12-12T18:43:19.953577;2;2022-12-12T14:43:29.424769;https://www.linkedin.com/feed/update/urn:li:activity:7008078640135426048/?actorCompanyId=1176657
Insights Success;;In the modern world, one such crown leader, Swati Bala, Lead of Corporate Communications, facilitates hands-on expertise in PR and Corporate Communications, while also indulging in Integrated communications predominantly digital media. Read More: https://cutt.ly/q0dFMbr #Influentialwomenleaders #w;#globalcommunication;English;2022-12-12T18:43:01.686951;2;2022-12-12T13:49:41.760123;https://www.linkedin.com/feed/update/urn:li:activity:7008065210364125184/?actorCompanyId=1176657
fight24.tv;;Auch in diesem Jahr wieder eine der Top-Veranstaltungen im fight24-Kalender: GET IN THE RING. Wir sprachen mit Veranstalter Till Görres über sein Fazit und die Pläne. Alle Fights der diesjährigen Auflage kostenfrei hier: https://loom.ly/_IaS5W0;Sprachen;German;2022-12-12T18:28:25.913849;2;2022-12-10T12:47:48.999722;https://www.linkedin.com/feed/update/urn:li:activity:7007324894560419841/?actorCompanyId=1176657
Lars Hartmann;;Aruba, a Hewlett Packard Enterprise company ist das erste Unternehmen, das seine Produkte durch das Wi-Fi Alliance Location Program zertifiziert. Dazu haben wir u.a. die erste öffentliche Demonstration von Wi-Fi CERTIFIED Location mit Fine-Timing-Messungen (FTM) bei einer gemeinsamen Veranstaltung d;Lokalisierung;German;2022-12-12T18:25:05.791369;4;2022-12-12T16:27:54.778746;https://www.linkedin.com/feed/update/urn:li:activity:7008104896096817152/?actorCompanyId=1176657
Natalie Parke;;A new webpage summarizing USAID's #localization efforts:;#localization;English;2022-12-12T18:24:09.646954;3;2022-12-12T14:21:28.257984;https://www.linkedin.com/feed/update/urn:li:activity:7008073159283220480/?actorCompanyId=1176657
EnglishRight;;Part 3 is out now! We're getting more technical & talk Shakespeare. Discover yet another reason English is one of the weirdest languages. This time it's about grammar & the question of all questions. #englishright #english #linguistics #languagelearning #languageteaching;#linguistics;English;2022-12-12T18:22:22.548421;2;2022-12-12T07:42:35.473487;https://www.linkedin.com/feed/update/urn:li:activity:7007972796530061312/?actorCompanyId=1176657
Caroline Crushell;;A Dublin pub in December is hard to beat! Happening this Friday 🎄⛄🎁;#localization;English;2022-12-12T18:17:23.039095;2;2022-12-12T14:26:17.674081;https://www.linkedin.com/feed/update/urn:li:activity:7008074269549076480/?actorCompanyId=1176657
Michael DiVito;;Combine experienced linguists with the latest technology to take your #interpretation services to the next level. #translation #localization;#localization;English;2022-12-12T18:17:11.959417;2;2022-12-12T14:37:11.686040;https://www.linkedin.com/feed/update/urn:li:activity:7008077183856312320/?actorCompanyId=1176657
Gerd Ott;;Um alle Baubeteiligten unter einen Hut zu bekommen bzw. um jeden zu erreichen bedarf es manchmal eines Hinweises an der Tür. Dementsprechend kann es sein, dass der Hinweis auch mal in 8 Sprachen abgefasst werden muss. #retrotec #luftdicht #luftdichtheitsmessung #luftdichtheitstest #blowerdoor #energ;Sprachen;German;2022-12-12T18:09:33.003077;2;2022-12-12T14:47:31.521807;https://www.linkedin.com/feed/update/urn:li:activity:7008070250155921409/?actorCompanyId=1176657
Federal Police fedpol;;Koordinieren ist für Sie so simpel wie das 1 mal 1? Perfekt: Bei fedpol triagieren und koordinieren Sie Geschäfte, erstellen Protokolle in verschiedenen Sprachen und organisieren Sitzungen und Anlässe. Ausserdem übernehmen Sie die fachliche Ausbildung von Lernenden. Kommen Sie zu fepdol und unterstü;Sprachen;German;2022-12-12T18:03:23.335791;2;2022-12-12T15:02:03.051086;https://www.linkedin.com/feed/update/urn:li:activity:7008083302913835009/?actorCompanyId=1176657
Aveniq;;Im Rahmen der #InCubeChallenge sprachen wir mit Dr. med. Thomas Böni, Leiter Technische und Neuro-Orthopädie der Universitätsklinik Balgrist, über das diabetische Fusssyndrom, wie es erfolgreich behandelt wird und wie wichtig die #Zusammenarbeit von #Fachspezialisten ist. Mehr dazu: https://lnkd.in/;Sprachen;German;2022-12-12T18:03:13.099715;4;2022-12-12T15:21:56.920971;https://www.linkedin.com/feed/update/urn:li:activity:7008088322103205888/?actorCompanyId=1176657
Lorna Fletcher;;What a fantastic couple of days attending our first sales kick off in Barcelona last week! Looking forward to 2023! 👏🏻 #ULG #localization #translation;#localization;English;2022-12-12T17:52:14.649249;9;2022-12-12T16:42:50.259734;https://www.linkedin.com/feed/update/urn:li:activity:7008108701018398720/?actorCompanyId=1176657
Lighthouse Translations Online;;The #WordOfTheWeek is solace. 📖 . . . #LanguageServices #Language #Translation #Vocabulary #Dictionary #Pronunciation #Linguistics #LanguageFact #Fact;#linguistics;English;2022-12-12T17:52:03.789182;2;2022-12-12T14:40:42.838698;https://www.linkedin.com/feed/update/urn:li:activity:7008068983987785728/?actorCompanyId=1176657
Rafa Lombardino, CT;;5 Interesting Machine Translation Uses 👓 https://buff.ly/3PldTqH 🎧 https://buff.ly/3Tvhpzs 📺 https://buff.ly/3fUh0cb There is a place and a time for machine translation uses, so here are some of them #xl8 #t9n #1nt #language #languages #translation #translator #translators #translating #freelan;#translator;English;2022-12-12T17:31:53.451185;2;2022-12-12T14:16:35.938407;https://www.linkedin.com/feed/update/urn:li:activity:7008071943241285632/?actorCompanyId=1176657
elvis silva;;#Errungenschaften Mein größter beruflicher Traum ist es, mit Mode zu arbeiten, ich weiß immer noch nicht, ob es Modekommunikation, Pressestelle oder etwas Ähnliches ist, aber ich weiß, dass ich beruflich am meisten mit Mode arbeiten möchte, das weiß ich Um dort hinzukommen, wo ich beruflich hin möc;Sprachen;German;2022-12-12T17:12:54.964797;2;2022-12-12T02:12:44.096097;https://www.linkedin.com/feed/update/urn:li:activity:7007878350874521600/?actorCompanyId=1176657
High-Speed Inkjet Paper Experts by Mondi;;Im September installierte die Latzer Grafik & Druck GmbH die CANON Varioprint iX 3200 🏎, eine Bogen High-Speed Inkjet Maschine 🦸‍♂️ Nach intensiven Druck-Tests, konnten die Papiere IQ Smooth und IQ Economy besonders punkten 💪 Nicht zuletzt die hohe Druckqualität in Zusammenspiel mit messbaren Tin;Sprachen;German;2022-12-12T16:59:18.747977;4;2022-12-12T14:47:33.443047;https://www.linkedin.com/feed/update/urn:li:activity:7008070124960137216/?actorCompanyId=1176657
FICHTNER Management Consulting AG (FMC);;FICHTNER Management Consulting AG (FMC) 𝗳𝗿𝗮𝗴𝘁 Hans-Peter Wyss In unserem neusten Format „𝗙𝗶𝗰𝗵𝘁𝗻𝗲𝗿 𝗠𝗮𝗻𝗮𝗴𝗲𝗺𝗲𝗻𝘁 𝗖𝗼𝗻𝘀𝘂𝗹𝘁𝗶𝗻𝗴 𝗳𝗿𝗮𝗴𝘁“ sprachen wir mit Hans-Peter Wyss, Leiter des Bereichs Netze und Mitglied der Geschäftsleitung bei Energie Wasser Bern über die wichtig;Sprachen;German;2022-12-12T16:58:06.783786;5;2022-12-12T15:29:54.922662;https://www.linkedin.com/feed/update/urn:li:activity:7008090465627422720/?actorCompanyId=1176657
Swati Bala;;I won’t lie but this truly feels incredible ! Thank you, for transcribing my professional journey. #Gratitude #Grateful;#globalcommunication;English;2022-12-12T16:39:27.132717;19;2022-12-12T14:57:50.921742;https://www.linkedin.com/feed/update/urn:li:activity:7008082435783450624/?actorCompanyId=1176657
Lexi Sprague;;My grandfather is always up to something fun, congratulations Peter Sprague for getting Badger into the CES awards!;#translation;English;2022-12-12T16:38:07.426707;2;2022-12-11T21:14:32.169489;https://www.linkedin.com/feed/update/urn:li:activity:7007814734368366592/?actorCompanyId=1176657
Russland : Aufwärts;;NEUE BRÜCKE AN DER AUTOBAHN A-215 IN DER REGION ARCHANGELSK Die neue Autobahnbrücke über den Fluss Vaimuga an der föderalen Straße A-215 ist offiziell in Betrieb genommen worden. Die neue Brücke wird anstelle der alten gebaut, deren Zustand große Sorgen bereitete. Außerdem waren die Zufahrten zu we;Lokalisierung;German;2022-12-12T16:34:26.801950;6;2022-12-12T14:21:33.217573;https://www.linkedin.com/feed/update/urn:li:activity:7008071107933020160/?actorCompanyId=1176657
My Language Connection Ltd;;My Language Connection is an experienced medical translation services provider that has worked with many different brands in the medical, biotechnology and pharmaceutical industry. Request accurate pharmaceutical translations today. #pharmaceutical #translationagency https://lnkd.in/gEv72EKW;#translationagency;English;2022-12-12T16:33:51.154446;2;2022-12-12T13:38:12.565564;https://www.linkedin.com/feed/update/urn:li:activity:7008062174250041345/?actorCompanyId=1176657
Mia Uzelac;;Such a great evening with my fellow translators 💕;#translator;English;2022-12-12T16:24:39.859150;2;2022-12-12T14:57:24.181552;https://www.linkedin.com/feed/update/urn:li:activity:7008082207244214272/?actorCompanyId=1176657
iFlair Web Technologies Pvt. Ltd.;;Java is one of the earliest Object-Oriented Programming #languages, providing easy #software developments that run on billions of mobile devices. Hitherto, the limitations and lack of features, Java is not like every developer. There are many Java #alternatives - which offer OS compatibility, and a;#languages;English;2022-12-12T16:06:05.093458;4;2022-12-12T14:07:55.898275;https://www.linkedin.com/feed/update/urn:li:activity:7008069624416071680/?actorCompanyId=1176657
Kickwords Limited;;Doesn't matter if you've been naughty or nice this year, we're still bringing you a present! 🎅 Send us a message with the special holidays code and a glorious discount will be applied to your project 😉🤗 https://lnkd.in/dAEyEA8u #Kickwords #LSP #translationservices #transcriptionservices #subti;#translationservices;English;2022-12-12T16:05:31.129678;5;2022-12-12T13:44:03.948001;https://www.linkedin.com/feed/update/urn:li:activity:7008063860200861696/?actorCompanyId=1176657
Goodwill Language;;Localize with us💙 #Goodwilllanguage #localization #translationservices;#translationservices;English;2022-12-12T16:05:03.058838;2;2022-12-12T08:40:55.904536;https://www.linkedin.com/feed/update/urn:li:activity:7007982099819315200/?actorCompanyId=1176657
Maria Nadejde;;From #amazontranslate It is important to ensure that Machine Translation models are as fair, unbiased, and accurate as possible. #fairness #unbiased #accurate #responsibleai #translation - #amazontranslate Benjamin H. Anna Currey;#translation;English;2022-12-12T15:32:38.618606;17;2022-12-10T14:27:16.221835;https://www.linkedin.com/feed/update/urn:li:activity:7007100114292936704/?actorCompanyId=1176657
Localazy;;No. 2 in Category Leaders by GetApp in the #TMS category makes Localazy feel like a great choice. Isn't it? #leaders #business #multilingual #localization https://lnkd.in/ewgJye4m;#localization;English;2022-12-12T15:31:34.799826;2;2022-12-11T21:32:40.611156;https://www.linkedin.com/feed/update/urn:li:activity:7007819299461472256/?actorCompanyId=1176657
Mariona Bolohan;;Do you allow fear to dictate your life? 🙌 It's ok to be scared as long as you don't let it control you. This weekend we took Miko for our regular walk, but this time the lake was frozen. At first, he was curios and then he saw a rock on top of the ice but couldn't get to it because he was scar;#translationagency;English;2022-12-12T15:20:36.028764;13;2022-12-12T13:46:10.370559;https://www.linkedin.com/feed/update/urn:li:activity:7008064217773678593/?actorCompanyId=1176657
iXenso group;;Auch im #Gesundheitswesen besteht Raum für Prozessverbesserungen! OP-Management oder Verweildauermanagement - das sind nur Beispiele für Handlungsfelder, die mit Hilfe von #processmining beleuchtet werden können: Komplexe Strukturen und Prozessabläufe sichtbar machen, Herausfinden, was real stattfin;Sprachen;German;2022-12-12T15:20:25.280986;4;2022-12-12T13:02:56.226011;https://www.linkedin.com/feed/update/urn:li:activity:7008040833610317824/?actorCompanyId=1176657
new business Magazin;;TV-Vermarkter sehen sich derzeit vor zahlreiche Herausforderungen gestellt. Der wachsende Wettbewerb mit US-Tech-Giganten ist dabei nur eine Marktentwicklung, auf die auch die Seven.One Entertainment Group Antworten finden muss. Im Interview mit 'new business' verrät Güldag Prange, wie sie den aktu;Sprachen;German;2022-12-12T15:20:14.986793;2;2022-12-12T13:02:53.888133;https://www.linkedin.com/feed/update/urn:li:activity:7008040923712397312/?actorCompanyId=1176657
Reinhard Eberl-Pacan;;Gebäudetyp E: „Wir wollen einen echten Befreiungsschlag wagen!“ Eine Flut an Normen, die sich zum Teil inzwischen gegenseitig widersprechen, macht das Bauen in Deutschland kompliziert und teuer. Wir sprachen mit der Präsidentin der Bundesarchitektenkammer darüber, wie es so weit kommen konnte – und;Sprachen;German;2022-12-12T15:20:05.737332;6;2022-12-12T13:02:51.385055;https://www.linkedin.com/feed/update/urn:li:activity:7008045808491069440/?actorCompanyId=1176657
Moritz Baumann;;""𝗪𝗶𝗿 𝗵𝗮𝗯𝗲𝗻 𝗲𝗶𝗻 𝗨𝗺𝘀𝗲𝘁𝘇𝘂𝗻𝗴𝘀-, 𝗸𝗲𝗶𝗻 𝗘𝗿𝗸𝗲𝗻𝗻𝘁𝗻𝗶𝘀𝗽𝗿𝗼𝗯𝗹𝗲𝗺."" Nur, wie lösen wir das? Wie kann Schulpolitik wieder mutiger & innovativer werden? Wo muss die Bildungsrepublik umsteuern? Das diskutiere ich am Mittwoch mit der Bildungsministerin von Schleswig-Holstein;Sprachen;German;2022-12-12T15:19:54.545511;6;2022-12-12T13:02:47.537124;https://www.linkedin.com/feed/update/urn:li:activity:7008052913876934656/?actorCompanyId=1176657
Andre Eberhard;;Das nächste Jahr könnte das Jahr der Facility-Manager werden. Sie kennen Bestandsimmobilien wie kaum ein anderer Branchenzweig und können Bestandhaltern tatkräftig unter die Arme greifen, wenn es um das Fitmachen des Portfolios für die ESG-Regulatorik geht. Wir sprachen mit Dieter Jäckel und Thomas;Sprachen;German;2022-12-12T15:19:45.004711;6;2022-12-12T13:37:41.454902;https://www.linkedin.com/feed/update/urn:li:activity:7008062264511483904/?actorCompanyId=1176657
AL SYED LEGAL TRANSLATION;;Boost your products, services and business by #localization #legaltranslationservices in Dubai, UAE. #business #dubai #uae;#localization;English;2022-12-12T15:19:18.450765;2;2022-12-12T09:22:53.812209;https://www.linkedin.com/feed/update/urn:li:activity:7007997997535883264/?actorCompanyId=1176657
Atom Ant Studios;;Another special day at Atom Ant! ✨ Wishing you a very Happy Birthday Aarya! 🎉🥳⁣ ⁣ ⁣ ⁣ ⁣ ⁣ #birthdaygirl #birthdaywishes #happybirthday #atomant #localizationservice #localization #subtitles #translator #writerscommunity;#localization;English;2022-12-12T14:21:06.085170;3;2022-12-12T12:56:54.145307;https://www.linkedin.com/feed/update/urn:li:activity:7008051801060962304/?actorCompanyId=1176657
Ed Regan;;Does your facility utilize patient portals? Make sure your program is easily accessible to *all* patients. Check out our best practices for localizing your patient portal experience: https://hubs.ly/Q01vpTjG0 #LanguageAccess #PatientExperience #Localization #HealthEquity;#localization;English;2022-12-12T14:15:39.693623;6;2022-12-09T13:10:58.538983;https://www.linkedin.com/feed/update/urn:li:activity:7006694660853112832/?actorCompanyId=1176657
Joshua Stein;;The best way to serve your global consumers is by providing websites in their preferred languages. Besides translating websites, e-retailers must accept local payment methods, meet local expectations and provide in-language customer service. #MotionPoint #Localization #Translation;#localization;English;2022-12-12T14:15:18.705943;3;2022-12-12T13:08:50.322754;https://www.linkedin.com/feed/update/urn:li:activity:7008054848646434816/?actorCompanyId=1176657
Noor Ul Nawal;;ABC Technologies required Freelance Linguistic Trainers for Business Communication & Arabic Language Training. Interested may contact us training.abctechpak@gmail.com #linguistics #trainers #business #communication #arabic #language Noor Muhammad Noor Ul Nawal;#linguistics;English;2022-12-12T14:15:08.002398;2;2022-12-12T11:03:48.077247;https://www.linkedin.com/feed/update/urn:li:activity:7008012940578549760/?actorCompanyId=1176657
Jordan Beyga;;Translation Conundrum 🔏 Jergas, modismos, lunfardos, do non-native #Spanish speakers casually use slang or regional terms? When I lived in #Argentina and #Chile I would hear these terms all the time, such as, laburar, ñoqui, guagua. Any Spanish speakers want to hazard a guess at these? 🤔 When #;#localization;English;2022-12-12T14:05:24.874821;2;2022-12-12T09:29:47.274493;https://www.linkedin.com/feed/update/urn:li:activity:7007999884620378112/?actorCompanyId=1176657
Krishna Mohan Pandey (he /him/his);;Read the case study of Aptara and Papa Jones' partnership for content development that secured a learning in practice bronze award. #Aptara #clients #casestudy #content #development #award #solutions #translation #partnership #learning #performance #corporate;#translation;English;2022-12-12T13:51:22.732623;20;2022-12-12T10:47:41.886387;https://www.linkedin.com/feed/update/urn:li:activity:7008008452895584257/?actorCompanyId=1176657
Collin Ewald;;Thank you, Stephen Helliwell for taking the time to give valuable feedback and foster learning experiences to ETHZ students in our class 376-1151-00L #Translation of Basic Research Findings from Genetics and Molecular #Mechanisms of #Aging;#translation;English;2022-12-12T13:51:10.802658;6;2022-12-12T12:32:39.367272;https://www.linkedin.com/feed/update/urn:li:activity:7008045674722123776/?actorCompanyId=1176657
Technotrad traduzioni;;COMING SOON: we are pleased to announce that we are about to launch our new web site! Stay tuned! #web #languages #services #translation #localization;#languages;English;2022-12-12T13:33:25.737772;2;2022-12-12T10:37:00.823887;https://www.linkedin.com/feed/update/urn:li:activity:7008016792325353472/?actorCompanyId=1176657
Falk Hedemann;;Warum #ChatGPT zur größten Bedrohung für Google werden könnte. Die Welle der Begeisterung über die Fähigkeiten von ChatGPT ist wirklich enorm. Und sie ist nicht mal sonderlich übertrieben, denn die Ergebnisse sind wirklich erstaunlich. ChatGPT kann 👁️mit wenig Input Texte in verschiedensten Spra;Sprachen;German;2022-12-12T13:25:55.377544;20;2022-12-12T11:12:22.989849;https://www.linkedin.com/feed/update/urn:li:activity:7008021039163023360/?actorCompanyId=1176657
Dr. Bernd Lambrecht;;Eine gelungene Kommunikation zwischen Business und IT ist das A und O – sie ist der Schlüssel für erfolgreiche Software-Projekte. In vielen Unternehmen schlummert diesbezüglich noch ein enormes Potenzial. Diesen Schatz zu heben, ist jedoch leichter gesagt als getan. Denn die Mitarbeiter der Fachber;Sprachen;German;2022-12-12T13:25:34.649;7;2022-12-12T11:12:13.626769;https://www.linkedin.com/feed/update/urn:li:activity:7008021446874517504/?actorCompanyId=1176657
Nelli Schatilov;;BREAKING NEWS!! 💥 #femaleempowerment ist bei mir nicht nur ein Hashtag! 💫 Ich wurde von MarKo Petersohn interviewed, der mit dem Königsmacher-Podcast einen der größten und bekanntesten Versicherungspodcasts betreibt. ___________________ Folgendes schreibt er: Im #Königsmacher-Podcast lade ich;Sprachen;German;2022-12-12T13:25:06.958591;11;2022-12-12T11:35:58.091734;https://www.linkedin.com/feed/update/urn:li:activity:7008031526562983936/?actorCompanyId=1176657
Darek Talko;;Remember this long read? What an honor to be a part of this Ukrainer #language and #linguistics project last year . . . with Krystyna Kravchenko and Bogdan Logvynenko!;#linguistics;English;2022-12-12T13:24:47.730509;9;2022-12-12T06:04:00.286035;https://www.linkedin.com/feed/update/urn:li:activity:7007946084127825920/?actorCompanyId=1176657
Diego Carpio 🇪🇸 Latam Marketing Services;;She disimulates, I don't believe what she says. Look what happens when ChatGPT is cornered with ""unavoidable questions"" 👀 What do you think? 😎 😄 #ai #language #writer #linguistics #philosophy #linkedin #futurism #technology #chatgpt;#linguistics;English;2022-12-12T13:24:17.926283;3;2022-12-12T11:43:50.235431;https://www.linkedin.com/feed/update/urn:li:activity:7008033498804424704/?actorCompanyId=1176657
Carlos Amaral;;Next Thursday I'll be joining Konstantin Dranch, Mário Júnior, Mirko Lorenz, Peggy van der Kreeft and Scott Rose for this year's Locdoc Masterclass on Media Localization.;#localization;English;2022-12-12T13:00:22.338268;2;2022-12-12T09:25:51.800519;https://www.linkedin.com/feed/update/urn:li:activity:7007998862791446528/?actorCompanyId=1176657
Andiamo! Language Services Ltd;;Unlock a worldwide audience by providing professionally translated material for your toys and games. Engage overseas customers and enable them to enjoy every aspect of your products safely, with detailed instructions and safety information. https://lnkd.in/eu-6vhSw #toysandgames #translationservic;#translationservices;English;2022-12-12T12:42:40.123302;2;2022-12-12T10:36:48.675913;https://www.linkedin.com/feed/update/urn:li:activity:7008007972320591872/?actorCompanyId=1176657
Translation Empire PK;;Agreement and Contract Translation Services. Translation Empire provides expert legal contract translations by professional translators in over 300 languages. Get in touch with us right now! 🌐 https://lnkd.in/dWahN5wg 📱 +92 300 0502601 #TranslationempirePK #languagefacts #translationservices #tr;#translationservices;English;2022-12-12T12:42:30.605520;3;2022-12-12T11:22:35.531880;https://www.linkedin.com/feed/update/urn:li:activity:7008028095001575424/?actorCompanyId=1176657
PARUCHURU SRIKANTH;;Attention please : Urgent Brand Requirement Min 50 YouTube Profiles Brand : Manmatters. Category: YouTubers Gender: Male YouTube Category : Only Lifestyle Bloggers Languages: Tamil, Malayalam,Kannada,Odiya, Hindi,Bengali, Payout: After Unlisted link Guys , Only share with me YouTube male bloggers;#languages;English;2022-12-12T12:17:07.538676;3;2022-12-12T10:58:34.156152;https://www.linkedin.com/feed/update/urn:li:activity:7008022080050909184/?actorCompanyId=1176657
Voxxed Days Thessaloniki;;“Microservices architecture is becoming increasingly popular over the past few years. If applied the proper way, it can bring huge benefits to organizations in terms of agility and scalability.” says Dimosthenis Bekas, Advanced #App Engineering Manager at #Accenture. 📹Watch the presentation video;#languages;English;2022-12-12T12:16:57.262661;5;2022-12-12T11:02:28.063674;https://www.linkedin.com/feed/update/urn:li:activity:7008023030379495424/?actorCompanyId=1176657
Lionbridge Switzerland;;#Übersetzung und #Lokalisierung trägt entscheidend zu einem herausragenden #Kundenerlebnis bei. Wir kümmern uns um die vollständige Integration und Lokalisierung Ihrer Software, Apps und Geräte. https://fal.cn/3ulVI;Lokalisierung;German;2022-12-12T11:01:18.256352;3;2022-12-12T09:45:35.620126;https://www.linkedin.com/feed/update/urn:li:activity:7008003771804864512/?actorCompanyId=1176657
Manuel López;;Hilarious. That might be another confirmation of the Sapir-Whorf-theory: language is more than just a communication tool – it determines our perception of reality and influences our behavior.;#localization;English;2022-12-12T10:57:52.155548;2;2022-12-11T14:05:12.561636;https://www.linkedin.com/feed/update/urn:li:activity:7007699100133412864/?actorCompanyId=1176657
IRSMarketing Ltd;;We utilise native language speakers for our marketing and sales campaigns across APAC & EMEA. Do you have a campaign we can help you with today? Connect here 👇 http://ow.ly/8QBA50LXjYX ...and one of our Business Directors will get in touch 😊 #sales #marketing #demandgeneration #thepipelinegene;#languages;English;2022-12-12T10:57:07.182254;2;2022-12-11T12:37:09.153273;https://www.linkedin.com/feed/update/urn:li:activity:7007675562127183872/?actorCompanyId=1176657
Centro SOL;;Our report in collaboration with the Public Justice Center featured in the Baltimore Sun : Ashley Black and Dr. Sarah Polk talk about results that shows how mental health providers' failure to provide interpretation and translation services keeps kids from immigrant families from accessing mental he;#translation;English;2022-12-12T10:56:14.536607;2;2022-12-11T12:52:13.504078;https://www.linkedin.com/feed/update/urn:li:activity:7007688248328081408/?actorCompanyId=1176657
campusLan Software GmbH;;Cyberattacken auf Unternehmen, Organisationen und Schulen mehren sich in letzter Zeit - vor einigen Wochen waren auch zahlreiche oberbayerische Schulen betroffen. Insgesamt 75 Schulen konnten nicht mehr auf die verschlüsselten Adressen und Lehrpläne zugreifen. Wir sprachen mit der Süddeutsche Zeitu;Sprachen;German;2022-12-12T10:42:44.523725;2;2022-12-10T10:56:57.685410;https://www.linkedin.com/feed/update/urn:li:activity:7007293237996453889/?actorCompanyId=1176657
Process Nine Technologies (Process9);;Translating content has become an important component of businesses, but how can you find a high-quality English-to-Hindi translation? Click https://lnkd.in/dV5iuATB for a fast and accurate translation now! #translation #freetranslation #translationtool #websitetranslation #free #news #newsalert #n;#translation;English;2022-12-12T10:09:54.213054;3;2022-12-12T08:55:24.519670;https://www.linkedin.com/feed/update/urn:li:activity:7007991069552349184/?actorCompanyId=1176657
TRANSTEC TRANSLATION;;Specialized Translation Services We provide translation services in almost all areas and fields of translation, including but not limited to the following: - Political translation - Press Release & Media translation - Literary translation - Religious Translation - Specialized Academic Translation;#translationservices;English;2022-12-12T09:44:56.737528;2;2022-12-11T08:01:12.617947;https://www.linkedin.com/feed/update/urn:li:activity:7007614954862194689/?actorCompanyId=1176657
Shakespeare Language Service;;No matter what you're going through, there's a light at the end. -------------------- Website: https://lnkd.in/gFBxbyY Facebook: https://lnkd.in/fjtkRY8 Instagram: https://lnkd.in/fcqgdcE Twitter: https://lnkd.in/fqeyxdC LinkedIn: https://lnkd.in/f8KViPW Email: info@shakespeare-translation.com Tele;#translationagency;English;2022-12-12T09:39:15.308290;2;2022-12-12T04:29:35.771012;https://www.linkedin.com/feed/update/urn:li:activity:7007921589858041856/?actorCompanyId=1176657
